#
# TailTale Language File (Japanese Translation)
# by rerofumi
#

L000 スタートボタンを押してね

L001 メインメニュー
L002 ひとりでプレイ
L003 対戦プレイ
L004 ゲーム設定
L005 ゲームのルール
L006 終了

L007 対戦プレイ
L008 ネットワーク対戦をします
L009 対戦サーバーに接続します
L010 プレイヤーの登録
L011 新しく対戦ゲームを作ります
L012 既にある対戦ゲームに接続します
L013 あなたの名前を入力してください
L014 対戦プレイを行います
L015 ゲームレベル
L016 ゲームスコア
L061 ゲームのブロック
L062 進化
L017 ゲームレベルの設定
L018 ゲームスコアの設定
L019 サーバーに接続
L020 サーバーのIPアドレスを入力してください
L021 対戦相手の接続を待っています
L022 プレイヤーの設定
L023 ここにあなたの名前を入力してください

L024 ゲームの設定
L025 ゲームの難易度
L026 デバッグモード
L027 言語
L028 フルスクリーンモード
L029 画面の大きさ
L030 フレームスキップ
L031 FPSの表示
L032 操作の左右入れ替え
L033 サウンドの有無
L034 BGMの音量
L035 SEの音量
L036 ゲーム難易度の設定
L037 不具合時のデバッグリポート送信を許可しますか
L038 言語の選択
L039 フルスクリーンモードの設定
L040 スクリーンサイズの設定
L041 ゲーム速度の設定
L042 ゲームのフレーム速度を表示します
L043 操作の左右入れ替え
L044 サウンド出力をします
L045 BGM音量を設定します
L046 SE音量を設定します

L047 はい
L048 いいえ

L049 English
L050 German
L051 Chinese
L052 Japanese
L053 Polish
L054 French
L055 Spanish
L056 Portuguese
L057 Korean

L058 サーバリスト
L059 サーバーを選択します
L060 対戦相手を待っています
